sat,scholarship,gpa
2020,0,2.072
1500,0,2.3440001
1070,0,1.576
1510,1,2.1760001
1490,0,1.816
1270,0,1.7440001
1530,0,2.0639999
1010,0,1.816
1110,0,2.1040001
1340,0,1.824
820,0,2.2639999
2060,0,1.392
2140,1,2.97
2170,0,3.05
700,0,2.0639999
1450,1,2.0479999
1880,0,2.336
640,0,2.0639999
2190,1,2.8299999
1790,0,2.072
1900,1,2.424
1260,0,2.0079999
680,0,1.8
1520,0,1.5439999
1710,0,1.9760001
1260,0,2.0479999
1310,0,1.7040001
1850,0,1.8959999
920,0,1.9280001
1440,0,1.808
1670,0,1.8559999
1430,0,2.184
640,0,1.448
1470,0,2.0799999
1380,0,2.1360002
1130,0,1.7120001
760,0,1.8879999
1190,0,1.944
830,0,1.728
1250,0,2.168
2090,0,2.1200001
1550,0,2.0879998
650,0,2.3280001
2300,1,3.1199999
980,0,2.1200001
1180,0,1.6799999
1550,0,1.768
2270,1,2.8900001
1640,0,2.016
1530,0,1.64
1270,0,1.6719999
1090,0,1.9680001
1400,0,1.8479999
1740,0,2.096
1470,0,2.1200001
2240,1,2.49
1750,0,2.2
1650,0,1.952
1480,1,2.4559999
970,0,1.632
980,1,1.8959999
1480,0,1.624
2180,1,3.21
2250,1,2.8099999
1090,0,1.624
1410,0,1.632
1620,0,2.1760001
980,0,1.9360001
680,0,1.7040001
1880,0,1.6799999
1740,1,2.3759999
1470,0,2.1360002
1710,0,2.5680001
700,0,1.8799999
1340,0,1.76
1960,0,2.2719998
790,0,1.8479999
1870,0,2.224
750,0,2.0879998
710,0,2.1200001
930,1,1.8879999
2110,1,2.4400001
1660,0,2.152
2210,1,2.8699999
2320,1,2.97
630,0,2.2319999
1690,0,2.056
1500,0,1.952
1360,0,2.1600001
1930,0,2.0079999
1030,0,1.9360001
1530,0,2.0639999
1510,0,2.0320001
1440,0,2.056
1410,0,1.648
850,0,2.016
1650,0,2.5599999
1790,0,2.168
1370,0,2.096
1460,1,2.1360002
1560,0,2.0799999
1070,0,2.072
2230,1,2.8099999
1070,0,1.8879999
1830,0,1.6959999
1740,0,2.0639999
2250,1,2.8399999
2320,1,2.9200001
2020,0,2.4319999
1870,0,2.312
1280,0,1.5600001
1460,0,2.016
1290,0,2.168
1740,0,2.0239999
1780,0,2.1600001
2390,1,2.6199999
1270,0,1.96
1980,0,2.0320001
860,0,1.5439999
1630,1,2.0479999
1020,0,1.7520001
1110,0,1.64
1860,1,2.2079999
2050,0,2.1200001
1910,0,2.1040001
1320,0,2.2479999
960,0,1.7040001
850,0,2
1350,0,2.096
930,0,1.96
1440,0,2.0079999
1210,0,1.8399999
1870,0,1.9360001
630,0,2.2
1440,1,2.3040001
1380,0,2.2879999
2150,1,3.2
1690,0,1.536
1200,0,1.9760001
1790,1,2.4719999
710,0,1.7040001
1640,0,2.128
2060,0,2.1919999
2250,1,2.8499999
2310,1,3.4400001
1950,0,2.2719998
730,0,1.992
1330,0,2.096
2050,0,2.016
1250,1,2.112
1170,0,1.824
1750,0,2.04
1740,0,1.8559999
1870,0,1.52
2390,1,3.0699999
1410,1,2.536
1470,0,1.776
2210,1,3.4100001
2360,1,2.5899999
1320,0,1.904
990,0,2.0079999
2080,0,2.0079999
2180,1,2.9300001
2080,0,2.184
830,0,1.9680001
2150,1,2.74
770,0,1.8
1830,0,1.7920001
1050,0,1.728
1810,0,2.392
800,0,2.0239999
1860,0,2.112
620,0,1.464
780,0,1.768
2270,1,2.95
1460,0,1.96
960,0,1.8959999
1260,0,2.072
2250,0,3.2
2020,1,2.4559999
1040,0,2.072
1880,0,1.8799999
700,0,2.2079999
1490,0,1.96
1810,0,2.168
1290,0,1.7040001
1040,1,1.872
1900,0,2.1360002
990,0,1.5600001
1860,0,2.5999999
1500,0,1.7120001
960,0,1.6719999
2010,0,2.464
2280,1,3.2
1210,0,1.952
2130,1,3.1800001
2380,0,2.73
1270,0,1.7040001
1760,0,2.2639999
760,1,2.2079999
1950,0,2.1040001
870,0,1.944
1460,0,1.8479999
1710,0,2.296
2390,1,2.6400001
2050,0,1.8959999
1800,0,2.2160001
2230,1,2.7
2180,1,3.0599999
1380,0,1.9280001
1690,1,1.984
2210,1,2.6500001
950,0,1.7440001
2390,1,3.6900001
1990,0,1.8879999
2390,1,3.0799999
1910,0,2.1919999
1450,0,1.608
1380,0,1.9120001
1330,0,1.6959999
2320,1,2.8499999
2200,1,2.8099999
1240,1,2.2079999
1970,0,1.8399999
1940,0,2.48
1500,1,1.9120001
1460,0,2.1919999
690,0,2.1440001
2210,1,2.8900001
2010,0,2.4719999
1550,0,1.872
1550,0,2.1600001
1310,0,2.0799999
1220,0,2.5680001
840,0,1.728
1890,1,2.2319999
1370,0,2.3600001
2300,1,2.8199999
1070,0,1.784
1500,0,1.952
2390,1,3.0699999
1710,0,1.7040001
1060,0,2.112
2370,1,2.98
1330,0,2.224
1850,0,2.2160001
1570,0,1.984
1980,0,1.992
880,0,1.6719999
1870,0,2.408
1860,0,2.1040001
1490,0,1.816
1090,0,1.648
1520,0,1.9360001
880,0,2.04
1270,0,2.04
1090,0,2.1040001
750,0,1.528
1510,0,1.8399999
620,0,1.5600001
1910,0,2.3759999
1940,0,1.808
1340,0,1.7920001
1590,0,1.6799999
2100,1,3.24
1190,0,2.096
1780,0,2.184
2390,1,3.4200001
1320,0,1.8879999
1610,0,2.2
950,0,2.0239999
910,0,2.072
1470,0,1.9200001
980,0,1.528
620,1,1.952
1270,0,2.552
1820,0,2.112
2340,1,2.8
1450,0,1.8479999
2220,1,3.52
1380,0,2.408
1760,0,2.3759999
1680,0,2.256
1220,0,1.76
1170,0,1.9360001
750,0,1.464
1200,0,2.04
1570,0,2.296
1440,1,2.424
2000,0,2.0239999
2000,0,2.4719999
2350,1,3.1900001
890,0,2.1760001
1930,0,2.128
1440,0,1.8399999
1200,0,2.336
1650,0,2.0239999
1440,0,1.904
2220,1,2.8399999
760,0,1.9200001
1180,0,2.056
1600,0,1.904
2020,0,2.2
1860,0,2.128
1850,0,1.9760001
1890,0,1.7440001
1590,0,2.0799999
2190,1,2.8900001
1240,0,1.9760001
1560,0,2.0320001
1710,0,2.1360002
2330,0,2.8
1370,0,2.072
1610,0,1.8879999
1550,0,1.904
1080,0,2.072
1920,1,2.112
620,0,1.8799999
2030,0,2.184
2120,1,3.04
800,0,1.7520001
1710,0,1.7360001
2070,0,2.152
1020,0,1.6159999
2320,1,3.25
770,1,2.0879998
840,0,1.576
1190,0,2.072
790,0,1.5039999
1970,1,2.2719998
1840,1,2.3759999
1310,0,2.072
790,0,2.1600001
2390,1,2.6700001
1000,1,2.3840001
1860,1,2.2160001
1460,0,1.608
1010,0,1.6959999
1450,0,1.7440001
1520,0,2.256
2390,0,2.3800001
1730,0,1.776
1990,0,2.096
880,0,1.7440001
2050,0,2.128
940,0,1.8959999
1020,0,1.904
1120,0,2.1440001
1800,0,1.7440001
2150,1,2.6300001
1690,0,2.2160001
2110,1,2.98
1420,0,1.984
2130,1,3.21
670,1,1.816
1120,1,2.3440001
630,0,2.0639999
1620,1,2.7360001
1550,0,1.7920001
1930,0,2.168
1360,1,1.9760001
730,1,2.3840001
2260,1,2.9300001
1320,0,1.7520001
1460,0,2.4319999
2210,1,3.23
1420,0,2.0239999
1380,0,1.8959999
1010,0,1.528
1530,0,2.0479999
1630,0,1.8799999
740,0,1.8399999
1220,0,1.8399999
1130,0,2.448
2030,0,1.824
2060,0,2.3440001
1730,0,2.016
1800,0,1.992
1030,0,1.9360001
2080,0,2.168
2330,1,3.28
1320,0,2.0639999
980,0,1.832
1500,0,1.9680001
1730,0,1.9120001
1490,0,2.4319999
1570,0,2.1200001
660,1,2.256
1730,0,1.816
1780,0,1.464
690,1,1.96
1160,0,2.184
1530,0,2.28
1130,0,1.6639999
2030,0,2.056
1570,0,2.0079999
1140,0,2.2479999
1660,0,2.168
630,1,2.3040001
1480,0,1.784
1550,0,1.7040001
990,0,1.816
1980,1,2.368
1840,0,1.8799999
1420,0,2.0239999
970,0,1.8
1490,0,2.24
970,0,1.8959999
1580,0,2.2
1360,0,2.1360002
2300,1,3.1600001
1560,0,1.632
860,0,1.576
850,0,1.944
860,0,2.04
1670,0,2.224
1610,1,2.2719998
1680,0,2.04
1810,0,2.448
970,0,1.6959999
1740,0,2.0639999
2260,1,2.6300001
1520,0,1.8799999
2340,1,3.25
1760,0,2.296
1180,0,1.944
650,0,1.944
2380,1,3.23
1700,0,1.9120001
1040,0,1.952
1340,0,1.7920001
1470,0,1.864
2140,1,3.22
740,0,2.296
1050,0,1.96
1690,0,2.2719998
1890,0,2.152
1130,0,1.9280001
1380,0,2.1440001
1820,0,2.3200002
1760,1,2.256
1810,0,2.04
2310,1,3.0799999
1850,0,2.224
1030,0,1.7520001
2360,1,2.5799999
1700,0,2.296
2390,1,3.3699999
1510,1,1.784
1720,0,2.04
1600,0,1.808
1590,0,1.6719999
990,0,2.112
920,0,1.7520001
630,0,1.6559999
1650,0,2.3040001
1540,0,1.832
1340,0,2.2719998
1250,1,2.0639999
1190,0,1.9360001
1800,0,1.8799999
1430,0,2.152
1550,1,1.96
910,0,2.368
990,0,1.632
2230,1,3.3800001
2320,1,3.1500001
1990,0,1.8
1480,0,2.2639999
1610,1,2.408
800,0,1.5600001
820,1,1.984
1960,0,2.552
1890,0,1.7920001
1690,0,2.3840001
1550,0,2.2479999
1550,0,2.0239999
2290,1,2.6800001
1790,1,2.464
680,0,1.9360001
760,0,2.0479999
1790,0,2.152
2060,0,2.1200001
1970,1,2.1600001
1610,0,1.8479999
830,0,2.296
2340,1,3.25
1690,1,2.1919999
1510,0,1.8399999
990,0,1.9360001
1820,1,2.3280001
2310,1,2.8800001
850,0,1.7360001
2350,1,3.1600001
1000,0,1.5439999
1270,0,2.336
850,0,1.9680001
2380,1,2.9300001
600,1,2.5120001
760,0,1.8879999
1440,1,1.7440001
2300,1,4
1790,0,2.0799999
1260,0,2.0239999
720,0,2.1440001
1670,0,2.2479999
610,0,2.128
1340,0,1.864
2220,1,2.75
920,0,1.64
1190,0,1.8479999
2350,1,2.8299999
1300,0,1.52
690,0,1.7040001
780,0,1.76
1500,0,2.336
1460,0,1.8879999
800,0,1.5039999
1720,0,2.04
1600,0,2.0239999
1000,0,1.6799999
1860,1,2.3280001
1950,0,2.592
670,0,1.6559999
1270,0,1.648
1270,0,1.76
2200,1,3.3800001
770,0,1.9680001
1770,0,2.056
2370,1,3.05
2300,0,3.46
2200,1,3.47
1470,0,1.9360001
1650,0,2.0879998
2010,1,2.184
1580,0,1.872
1750,0,2.1600001
2200,1,2.76
740,0,1.72
2390,1,2.71
1100,0,1.984
770,0,1.72
2050,0,2.0479999
690,0,1.9120001
2280,1,3.28
1340,0,1.816
700,0,2.0239999
1970,0,2.336
1780,0,2.2
1180,0,1.904
1240,0,1.7440001
1040,0,2.448
690,0,2.3040001
1030,0,1.984
2200,1,3.0899999
1550,0,1.368
1790,0,2.1200001
1050,0,1.8879999
810,1,2.1600001
1380,0,2.4559999
1990,0,2.408
1160,0,2.24
2340,1,3.0899999
1250,0,1.864
870,0,2.0479999
2400,0,2.6700001
980,0,2.0239999
1970,0,2
2220,1,3.26
980,0,1.824
1270,0,1.5600001
1010,0,1.536
1480,0,2.072
2150,1,3.0599999
1980,0,2.1600001
1530,0,2.0320001
2260,1,2.95
940,0,1.592
2340,1,2.6600001
970,0,1.8959999
870,0,1.832
2160,1,3.04
2110,1,3.3499999
1710,0,1.608
1740,0,2.056
2090,0,1.96
1040,0,2.408
2160,1,2.7
1230,0,1.8
1620,0,2
2230,1,3.27
2380,1,3.25
1520,0,1.768
1520,0,2.24
1990,0,2.3840001
910,0,2.2160001
1030,0,2.1200001
1910,0,2.2079999
770,0,1.52
2100,1,3.0799999
810,0,1.6959999
800,0,1.6159999
1840,0,2.1760001
1610,0,1.9120001
2380,1,3.51
1490,0,1.824
1880,0,2.168
1920,0,2.072
2230,1,2.8299999
1550,0,2.1440001
2400,1,2.96
2260,1,2.8
2000,1,2.2
1790,0,2.056
930,0,2.096
1940,0,2.2639999
700,1,2.056
840,0,1.8559999
1420,0,2.4959998
1160,0,1.864
2070,0,1.9680001
1450,0,2.312
1740,0,2.6559999
2320,1,2.4300001
1200,0,2.24
1590,0,1.688
1350,0,1.984
2340,1,2.79
1370,0,2.0799999
880,0,1.376
1610,1,1.9360001
1370,0,2.152
2390,1,3.1800001
2080,1,2.608
2300,1,3.6199999
1000,0,2.3600001
1960,0,2.3600001
2160,1,3.0799999
1660,0,1.648
2150,1,2.3199999
740,0,1.9760001
1580,0,2.2160001
1710,1,2.5280001
830,0,1.552
830,0,2.0639999
1640,1,2.072
1130,0,1.864
900,0,1.608
1070,0,2.0639999
1690,0,1.472
1470,0,1.608
1910,0,2.5840001
610,0,1.784
1530,0,2.3600001
1210,0,1.984
2200,1,2.99
2250,1,2.9200001
2310,1,3.27
1040,0,2
1560,0,2.3440001
760,0,1.944
2390,1,3.1300001
1880,0,1.8399999
1220,0,1.6719999
610,0,1.8479999
1430,0,1.76
1840,0,2.52
1640,0,1.7040001
1470,0,2.2479999
2140,1,2.9400001
870,0,1.832
1930,1,2.336
1510,0,1.8399999
1280,0,1.904
680,1,2.1200001
1450,0,1.96
1330,0,1.648
1070,0,1.784
1150,0,1.9200001
1290,0,1.9200001
1540,0,2.1600001
1630,0,2.448
2150,0,3.1800001
2010,0,2.28
1750,0,2.3600001
1660,0,1.8959999
1780,0,1.9200001
2050,0,2.3440001
760,0,1.648
2180,1,2.5999999
1330,0,1.864
2170,1,3.54
780,1,1.7040001
1360,0,1.816
2110,1,2.99
720,0,1.9360001
950,0,1.72
2240,0,2.6800001
990,0,1.6559999
2320,1,2.4100001
2240,0,2.49
1840,0,2.3280001
820,0,1.8479999
1610,0,2.184
2140,1,2.53
1600,0,2.3600001
2100,1,2.8800001
2370,1,3.1700001
2230,1,3.3699999
1940,0,2.04
930,0,1.952
1430,0,2.312
1780,0,2.3440001
940,0,2.4400001
740,0,2.0639999
760,0,1.768
1040,0,2.112
1550,0,2.3759999
870,1,1.9680001
1540,0,1.9120001
2290,1,2.48
2260,1,2.73
1620,0,2.0799999
1230,0,2.096
1280,0,1.3279999
2110,1,3.4300001
1500,0,1.624
2390,1,3.6400001
2370,1,2.9400001
1420,0,2.016
1090,1,1.7040001
1130,0,2.0639999
970,0,1.5680001
1910,0,2.464
1550,0,1.984
1390,0,2.096
700,0,1.816
1430,0,1.824
1570,0,1.728
1080,1,1.7120001
1950,1,2.776
1650,0,2.5440001
1720,0,1.536
2110,1,2.6700001
840,0,1.824
1800,0,1.952
730,0,1.7120001
1560,0,2.1440001
1000,0,2.168
1190,0,1.984
1700,0,1.76
970,0,1.776
950,0,1.5680001
1670,0,1.864
1200,1,2.352
2310,1,2.9200001
2110,1,3.26
1770,0,2.24
2100,1,3.3900001
1560,0,1.352
1420,0,2.0639999
1120,0,1.7520001
2330,1,2.75
840,0,1.584
1510,0,1.8799999
1100,0,1.9120001
1690,0,2.3200002
1500,0,2.04
1680,0,1.4960001
1660,0,1.904
860,0,2.1200001
1700,0,1.952
810,0,1.76
1000,0,2.1360002
1980,0,2.2639999
2400,0,3.03
1420,0,2.016
1180,0,2.3759999
2050,0,1.784
1180,0,2.464
1050,0,2.0639999
1990,0,2.128
840,0,1.8879999
1680,0,1.2720001
1960,0,1.784
1640,0,1.9760001
700,0,2.016
1090,0,1.5039999
1920,1,2.128
1010,0,1.952
2310,1,2.9300001
2370,1,2.72
1650,0,2.0239999
1810,0,1.992
1160,0,2.2
1820,0,1.6559999
1370,0,2.0879998
950,0,2.408
620,0,1.768
2400,1,2.6300001
1770,0,2.1600001
1730,0,2.312
1000,0,2.2
2180,1,3.23
1880,1,2.016
1920,0,2.184
1320,0,2.2319999
2160,1,2.49
1870,0,1.9200001
2370,1,3.5
1460,0,2.0879998
2020,0,2.28
1860,0,2.4559999
1220,0,1.816
1770,0,2
2110,1,3.55
1950,1,2.0079999
850,0,1.9120001
630,0,2.128
1290,0,2.424
1890,0,2.392
2070,0,2.0479999
1780,0,2.04
1710,1,2.0799999
1690,0,1.9760001
1070,0,1.632
980,0,2.2160001
880,0,1.5439999
1400,1,1.4560001
990,0,1.728
1040,0,1.7920001
2010,0,2.1440001
1830,0,2.5280001
2260,1,2.8499999
2130,0,2.8399999
760,0,1.688
2320,1,2.6700001
1290,0,2.1600001
1080,0,1.6
1840,1,2.3440001
2240,1,2.75
1530,0,1.8959999
1370,0,1.472
1030,0,1.8
1150,0,1.72
1990,0,1.9360001
1400,0,1.9760001
1430,0,1.9200001
1940,0,2.0320001
1740,0,2.1440001
1050,1,1.824
1110,0,2.336
1300,0,1.992
1400,0,2.24
2340,1,3.1900001
1480,0,1.7360001
1560,0,1.872
2080,0,2.464
940,0,1.688
860,0,2.016
960,0,1.76
1110,0,2.0239999
1450,0,1.4
1640,0,2.0320001
1110,0,1.7440001
830,0,2.1200001
1490,0,2.28
1850,0,2.48
1370,1,1.76
1170,0,1.488
2020,0,2.2
1070,0,2.24
1350,0,1.76
1210,0,2.0799999
1740,0,2.424
1890,0,2.4319999
2110,1,2.8900001
2170,1,2.5699999
1170,0,1.784
2330,1,3.0899999
1880,0,1.8799999
1770,0,2.1200001
1550,0,1.5680001
1840,0,2.336
1880,0,1.96
2310,1,3.1300001
2170,1,2.4000001
810,1,2.184
660,1,1.8399999
770,1,2.016
1420,0,1.9120001
1900,0,2.52
1280,0,1.872
1150,0,2.0479999
860,0,1.6159999
1000,0,2.128
940,0,1.72
1250,0,2.152
1070,1,2.2719998
1840,0,2.1760001
1710,0,2.464
1740,0,2.152
2250,1,3.1500001
1380,0,1.8479999
2100,1,2.23
2100,1,2.5999999
2160,1,2.4400001
900,0,2
1390,0,1.8799999
1290,0,1.7440001
1440,0,1.6959999
1960,0,2.5440001
1340,0,1.832
2340,1,2.78
2100,1,3.0799999
2100,1,2.0799999
1100,0,1.8479999
1380,0,1.6959999
890,0,1.5600001
2070,0,2.0320001
1150,0,1.8
2180,1,2.6500001
1700,0,1.9280001
750,0,1.872
1200,0,1.488
1470,0,1.784
1120,0,1.6799999
1410,0,2.3040001
900,0,1.984
1890,0,1.76
1450,0,2.3200002
1030,0,1.816
1850,0,1.824
930,0,1.6
1380,0,1.9680001
1600,0,2.1040001
860,0,1.6159999
1170,0,2.2639999
2250,1,3.3699999
1360,0,2.168
2370,1,2.96
1030,1,2.168
910,0,2.3200002
1880,0,1.9200001
1570,0,1.9680001
1630,0,1.5680001
1410,0,2.1440001
2230,1,3.3099999
2200,1,2.8399999
1640,0,1.8959999
1080,0,2.28
1670,0,2.0799999
930,0,1.864
1360,0,1.8479999
2210,1,3.4100001
1380,0,1.808
1810,0,2.3840001
1440,0,2.0479999
2360,1,3.3399999
1980,0,2.2160001
1810,0,2.096
1400,0,1.9760001
2390,1,3.4300001
1490,1,2.0239999
650,0,2.072
2150,1,2.9400001
1020,1,2.04
1240,1,2.1200001
1780,0,1.984
1560,0,1.8
610,0,2.016
2330,1,3.0999999
1210,0,2.168
2390,0,3.04
950,0,1.72
1520,0,2.312
1740,0,2.184
2010,0,2.448
2330,1,3.0599999
2270,0,2.7
1060,0,1.96
730,0,1.632
1440,0,1.9760001
2400,1,3.3299999
870,0,1.3279999
1750,0,2.224
910,0,1.944
1250,0,1.592
2330,1,3.4100001
2110,1,3.1400001
1910,0,1.9120001
820,0,2.168
950,0,1.7360001
890,0,2.096
1440,0,1.9200001
1610,0,1.952
2030,0,1.7920001
1620,0,2.128
1980,0,1.952
2230,1,2.99
2230,1,2.97
640,0,2.1200001
1460,0,2.48
1960,0,1.9680001
1510,0,2.2319999
2010,0,1.9200001
1740,1,1.808
600,1,2.128
1230,0,2.0479999
1860,0,2
790,0,1.5439999
790,1,1.8799999
1800,0,2.096
1730,0,2.3600001
1520,0,1.9200001
2280,1,3.1400001
2080,0,1.984
1490,0,2.3600001
2390,0,2.8599999
730,0,1.6159999
1430,0,1.872
1560,0,1.952
1280,1,2.2079999
1740,0,2.0639999
1120,0,2.128
2170,1,2.9000001
2380,1,3.29
1130,0,2.0239999
1960,0,2.152
1160,0,1.8959999
1370,0,2.0639999
920,0,1.688
2260,1,2.9000001
2090,0,2.5440001
1680,0,1.9760001
650,0,1.9280001
1600,0,2.112
2190,1,3.04
1970,1,2.3840001
1080,0,2.1040001
1220,0,1.9200001
1710,0,1.3840001
1460,0,2.128
610,0,1.992
710,0,1.7520001
1060,0,2.096
1490,0,2.1919999
1630,0,1.6
2130,1,3.4200001
1400,0,2.04
1470,0,2.016
2010,0,2.0799999
1440,0,2.016
2280,1,2.6600001
2110,1,2.7
1520,0,1.9360001
2340,1,2.49
1640,0,2.0799999
2010,1,2.112
650,0,2.2479999
1240,0,2.1440001
1050,0,1.552
1950,0,2.224
1830,0,2.336
2270,1,2.9000001
1980,0,2.28
1670,0,2.112
2070,0,1.824
1110,0,1.7120001
1490,1,2
2140,1,2.3499999
1520,0,2.4000001
670,0,1.808
1390,1,2.552
1790,0,2.0799999
1850,0,2.5120001
2010,0,1.816
1040,0,2.152
1310,0,1.7920001
1740,0,1.832
2200,1,3.3800001
1960,0,2.0320001
1700,0,2.352
1260,0,1.8
1620,0,2.608
1960,0,2.1040001
730,0,1.776
1500,0,1.9760001
2250,1,2.6300001
760,0,1.64
1980,0,1.952
1370,0,1.864
1530,0,1.488
1870,0,2.2879999
1050,0,2.1760001
1710,1,2.312
2110,1,2.8299999
670,0,1.992
1100,0,2.072
1460,0,2.336
1450,1,2.0239999
1630,0,1.816
900,1,2.2079999
950,0,2.04
960,0,1.4319999
970,0,1.184
870,0,1.76
2140,1,2.49
1240,0,1.872
1620,0,1.8959999
1870,0,1.6959999
700,0,1.72
1030,0,1.5600001
2170,1,3.1400001
720,0,2.352
1870,0,2.8959999
820,0,1.6
2050,0,2.336
1850,0,1.824
1870,0,1.592
1860,0,1.776
880,0,1.8879999
1040,1,2.256
2010,0,1.9760001
630,0,1.6799999
2240,1,3.72
830,0,2.0320001
760,0,2.2639999
2300,0,2.48
940,0,1.9360001
920,0,2.3040001
1820,0,1.944
1200,0,1.8399999
2380,1,3.3499999
1270,0,2.2719998
1900,0,2
2350,1,3.45
1830,0,1.808
1860,0,2.3600001
1840,0,2.296
2050,0,2.48
2020,0,2.0879998
770,0,1.8959999
730,0,1.6799999
890,0,2.0239999
980,0,1.9200001
1320,0,1.8799999
660,0,1.8879999
1880,0,1.9280001
1770,1,2.4719999
970,0,2.1360002
1870,0,1.9120001
2140,1,2.9000001
1620,1,2.2
1070,0,1.824
1520,0,1.832
770,0,1.8799999
2200,1,2.8199999
970,0,1.824
810,1,2.6799998
1800,1,2.312
2180,1,2.8499999
1910,0,2.0320001
1460,0,1.864
1120,0,1.992
1330,0,2.0239999
2050,0,2.408
1550,0,2
1880,1,2.1360002
840,0,1.784
670,1,1.9200001
1680,0,2.1600001
710,0,1.776
1740,0,1.7120001
2020,0,2.056
1320,0,1.904
1850,0,2.1040001
1830,1,1.9200001
2190,1,3
1650,0,2.2719998
1300,0,2.0079999
1730,0,2.52
1960,0,2.1360002
1570,0,1.864
2080,0,1.8879999
700,0,1.5680001
1490,0,1.96
790,0,2.2879999
1500,0,2.5999999
1310,0,1.768
2170,1,2.8399999
960,0,1.376
830,1,1.832
1790,0,2.0479999
2380,1,3.9200001
1250,0,1.9200001
2100,1,2.6600001
1720,0,2.2479999
2320,1,3.21
1480,0,1.944
2220,1,3.1400001
2180,1,3.45
1870,0,2.4719999
1340,0,1.9120001
850,0,1.72
2080,0,2.368
2020,0,1.592
1610,0,2.1360002
1480,0,2.1360002
1680,0,2.2079999
2220,1,3.3099999
1720,0,2.0239999
780,0,2.1040001
2240,1,2.72
1340,0,2.256
630,0,1.592
600,0,2.072
1830,0,2.0320001
720,0,1.7440001
2160,1,2.96
2290,1,3.22
1110,0,1.8479999
900,0,1.992
1080,0,2.1760001
2400,1,3.3099999
1960,0,1.9280001
650,0,2.1040001
740,0,2.0799999
1680,1,2.5440001
2380,1,3.4400001
1400,0,1.9360001
820,0,1.864
1380,0,1.9200001
1240,0,1.9120001
2390,1,2.99
1560,0,2.3440001
1050,0,1.7520001
2080,1,2.152
650,0,1.864
2240,1,2.79
1760,0,2.112
1640,0,1.952
2140,1,3.3
1570,0,2.48
2190,1,2.9100001
1660,0,2.0320001
1630,0,2.184
1580,0,1.952
1970,0,2.4000001
1840,0,1.944
1390,0,2.256
870,0,1.728
1560,0,1.9120001
1070,0,1.536
2210,0,2.6199999
730,0,1.352
1960,0,1.816
690,0,1.9360001
930,0,1.6959999
1300,0,2.0639999
760,0,2.1440001
2370,1,3.1500001
2120,1,3.54
1680,1,2.4559999
2100,1,2.6700001
2180,1,3.3099999
1460,0,1.6959999
920,1,1.784
1440,0,2.4000001
1120,1,2.3600001
1990,0,1.9280001
2380,1,2.72
2370,1,3.0899999
2030,0,2.1600001
2350,1,3.22
840,0,1.7920001
1660,0,2.5280001
1820,0,2.2479999
1070,0,2.2719998
1940,0,1.5600001
1050,0,1.8559999
1340,0,1.8959999
1150,0,1.8559999
1380,0,1.608
1160,0,2.0079999
1380,1,1.9760001
650,0,2.1200001
640,0,1.7440001
2160,1,2.73
